date,close,change,volume,open,high,low
2017-02-23,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-02-24,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-02-27,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-02-28,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-01,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-02,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-03,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-06,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-07,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-08,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-09,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-10,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-13,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-14,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-15,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-16,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-17,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-20,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-21,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-22,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-23,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-24,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-27,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-28,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-29,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-03-30,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-03-31,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-03,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-04,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-05,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-07,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-10,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-11,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-12,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-13,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-14,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-17,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-18,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-19,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-20,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-21,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-24,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-25,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-26,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-27,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-28,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-03,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-04,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-05,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-08,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-09,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-10,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-11,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-12,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-15,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-05-16,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-05-17,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-05-18,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-05-19,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-05-22,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-05-23,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-05-24,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-05-25,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-05-26,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-05-29,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-05-30,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-05-31,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-01,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-02,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-05,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-06,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-07,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-08,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-09,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-12,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-13,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-14,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-16,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-19,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-20,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-21,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-22,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-23,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-26,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-27,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-28,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-06-29,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-06-30,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-07-03,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
2017-07-04,9.90,0.00 (0.00 %),0,9.90,9.90,9.90
2017-07-05,9.90,0.00 (0.00 %),0,9.9,9.90,9.90
