date,close,change,volume,open,high,low
2017-02-27,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-02-28,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-01,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-02,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-03,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-06,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-07,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-08,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-09,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-10,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-13,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-14,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-15,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-16,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-17,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-20,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-21,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-22,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-23,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-24,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-27,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-28,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-29,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-03-30,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-03-31,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-03,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-04,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-05,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-07,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-10,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-11,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-12,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-13,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-14,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-17,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-18,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-19,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-20,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-21,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-24,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-25,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-26,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-04-27,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-04-28,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-03,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-04,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-05,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-08,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-09,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-10,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-11,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-12,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-15,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-16,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-17,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-18,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-19,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-22,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-23,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-24,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-25,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-26,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-29,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-05-30,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-05-31,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-01,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-02,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-05,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-06,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-07,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-08,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-09,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-12,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-13,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-14,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-16,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-19,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-20,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-21,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-22,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-23,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-26,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-27,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-28,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-06-29,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-06-30,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-03,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-04,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-05,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-06,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-07,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-10,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-11,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-12,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-13,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-14,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-17,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-18,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-19,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-20,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-21,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-24,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-25,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-26,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-27,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-07-28,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-07-31,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-01,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-02,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-03,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-04,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-07,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-08,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-09,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-10,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-11,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-14,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-15,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-16,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-17,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-18,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-21,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-22,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-23,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-24,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-25,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-28,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-29,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-08-30,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-08-31,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-01,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-05,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-06,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-07,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-08,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-12,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-13,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-14,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-15,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-18,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-19,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-20,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-21,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-22,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-25,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-26,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-27,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-09-28,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-09-29,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-02,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-03,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-04,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-05,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-06,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-09,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-10,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-11,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-12,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-13,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-16,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-17,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-18,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-19,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-20,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-23,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-24,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-25,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-26,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-27,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-10-30,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-10-31,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-11-01,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-11-02,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2017-11-03,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2017-11-06,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
